Defendant_Sex,Defendant_Race,Defendant_Age,Defendant_IndigencyStatus,WhetherDefendantWasReleasedPretrial,DaysBetweenContactEventAndPretrialRelease,PretrialReleaseType2,BondTypeAtInitialContact,BondAmountAtInitialContact,BondTypeAtRelease_v1,BondAmountAtRelease,Indicator_PresumptiveDenialOfBail_19.2_120,PriorArrests,Locality_JudicialCircuit,Locality_MagisterialRegion,FollowUp_ChargedWithNewFTA,FollowUp_ArrestedforNewOff,CrimeCommission2021ReportClassificationofDefendants,VPRAI_TotalPoints_Opt1,VPRAI_TotalPoints_Opt2,PSA_FTA_TotalPoints,PSA_NCA_TotalPoints,PSA_NVCA_TotalPoints
M,B,32,0,1,3,6,1, ,2,10000,0,7,    8.00,    8.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,3,4,2,5,5
M,W,22,1,0,999,0,1, ,1, ,0,4,    8.00,    8.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,6,7,1,4,2
M,B,37,0,1,21,6,1, ,2,25000,2,28,    8.00,    8.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,5,6,3,9,6
F,B,59,0,0,999,0,1, ,1, ,0,31,    7.00,    8.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,4,5,3,7,2
M,B,34,1,0,999,0,1, ,1, ,0,23,    4.00,    7.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,5,6,1,5,3
M,B,23,1,0,999,0,1, ,1, ,2,18,    4.00,    7.00,0,0,Defendant Detained Entire Pre-Trial Period_Held Without Bond,3,4,2,6,6
M,B,33,1,1,0,6,2,1000,2,1000,0,9,    4.00,    7.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,8,9,2,7,2
M,B,43,0,0,999,0,1, ,1, ,0,23,    3.00,    7.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,3,4,2,3,1
M,B,44,1,1,0,3,2,3000,2,3000,0,25,    3.00,    7.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,6,7,2,5,2
F,W,27,0,1,1,3,2,5000,2,5000,1,4,   23.00,    2.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,5,6,2,4,2
M,B,50,0,0,999,0,2,10000,1, ,0,10,    5.00,    8.00,0,0,Defendant Detained Entire Pre-Trial Period_Held on Secured Bond,2,3,1,5,2
M,B,62,0,1,0,3,2,10000,2,10000,0,13,    5.00,    8.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,5,6,1,5,2
M,W,31,0,1,0,3,2,10000,2,10000,2,1,    5.00,    8.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,0,1,0,0,2
M,W,23,1,0,999,0,1, ,1, ,0,13,    5.00,    8.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,6,7,4,8,2
M,B,45,1,0,999,0,1, ,1, ,0,8,    2.00,    7.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,2,3,1,5,2
M,B,26,0,1,0,3,2,2500,2,2500,0,7,    2.00,    7.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,3,4,2,2,2
M,B,20,0,0,999,0,1, ,1, ,2,4,    2.00,    7.00,0,0,Defendant Detained Entire Pre-Trial Period_Held Without Bond,2,3,1,4,5
M,W,51,1,1,21,3,1, ,2,20000,1,0,   24.00,    2.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,0,1,0,0,2
M,B,31,1,1,0,3,2,1000,2,1000,0,17,   24.00,    2.00,1,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,6,7,1,5,2
F,B,27,1,0,999,0,1, ,1, ,0,29,    6.00,    3.00,0,0,Defendant Detained Entire Pre-Trial Period_Held Without Bond,9,10,1,5,2
F,B,19,1,1,3,1,1, ,3,5000,0,1,   10.00,    3.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,9,10,1,3,1
M,W,55,0,1,0,3,2,1500,2,1500,0,44,   15.00,    6.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,6,7,3,9,4
M,W,38,0,0,999,0,1, ,1, ,0,12,   12.00,    3.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,7,8,2,4,1
M,W,30,0,0,999,0,1, ,1, ,0,32,   16.00,    4.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,8,9,2,8,3
F,W,33,1,1,0,1,3,2000,3,2000,0,0,   11.00,    3.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,3,4,0,0,0
M,W,30,1,0,999,0,1, ,1, ,0,9,   27.00,    1.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,7,8,1,6,3
M,W,37,0,0,999,0,1, ,1, ,0,6,   16.00,    4.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,6,7,1,4,2
M,W,36,1,0,999,0,1, ,1, ,2,18,   22.00,    2.00,0,0,Defendant Detained Entire Pre-Trial Period_Held Without Bond,6,7,2,8,5
F,B,39,1,1,0,1,3,3000,3,3000,0,2,   10.00,    3.00,0,1,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,0,0
M,B,48,0,1,0,1,3,2500,3,2500,0,2,   10.00,    3.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,2,3,1,2,2
M,W,40,1,1,0,3,2,500,2,500,0,48,   14.00,    6.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,9,10,3,8,3
M,B,50,1,0,999,0,1, ,1, ,0,23,   14.00,    6.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,6,7,4,9,3
M,W,35,1,1,0,1,3,5000,3,5000,0,3,   14.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,11,12,2,4,2
M,B,22,1,1,0,3,2,500,2,500,0,10,   21.00,    2.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,7,8,3,8,2
M,W,39,1,1,0,1,3,5000,3,5000,0,3,   30.00,    1.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,6,7,2,3,1
M,W,27,0,0,999,0,1, ,1, ,2,2,   20.00,    4.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,6,7,1,4,2
M,W,36,0,0,999,0,1, ,1, ,0,1,   20.00,    4.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,6,7,1,3,1
M,B,26,0,1,6,3,1, ,2,8000,0,3,   27.00,    1.00,0,1,New criminal offense punishable by incarceration_Released on Secured Bond,5,6,2,5,2
M,W,50,1,0,999,0,1, ,1, ,0,55,   26.00,    4.00,0,1,Defendant Detained Entire Pre-Trial Period_Held Without Bond,8,9,2,9,6
M,W,45,0,0,999,0,1, ,1, ,0,17,   22.00,    2.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,7,8,4,5,1
M,W,43,0,1,22,3,1, ,2,15000,2,2,   31.00,    5.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,0,1,0,0,2
M,W,37,1,0,999,0,1, ,1, ,0,12,   23.00,    2.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,6,7,1,5,2
M,W,41,0,0,999,0,1, ,1, ,0,7,   29.00,    1.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,2,3,1,5,2
M,W,35,0,1,0,1,3,1500,3,1500,0,2,   30.00,    1.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,2,3,1,1,1
M,W,34,1,1,0,3,2,1500,2,1500,0,13,   28.00,    1.00,0,1,New criminal offense punishable by incarceration_Released on Secured Bond,5,6,1,6,3
M,W,52,1,1,22,6,1, ,2,2500,1,29,   15.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,8,9,3,8,3
M,W,36,0,0,999,0,1, ,1, ,0,20,   15.00,    6.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,6,7,2,4,1
F,B,23,0,1,1,3,2,25000,2,25000,0,0,   15.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,3,4,0,0,0
M,W,45,0,0,999,0,1, ,1, ,0,5,   15.00,    6.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,6,7,1,1,1
M,W,35,0,1,14,3,1, ,2,2000,0,3,   30.00,    1.00,1,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,4,5,1,3,1
M,W,27,0,1,0,3,2,1000,2,1000,0,6,   30.00,    1.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,6,7,1,4,1
F,W,39,0,0,999,0,1, ,1, ,0,17,   30.00,    1.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,4,5,4,8,2
M,W,27,0,0,999,0,1, ,1, ,0,1,    9.00,    6.00,0,0,Defendant Detained Entire Pre-Trial Period_Held Without Bond,9,10,1,3,1
M,B,36,1,1,83,1,1, ,3,2500,0,16,   16.00,    4.00,1,1,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,7,8,6,7,2
M,W,63,1,1,0,1,3,1500,3,1500,1,3,    1.00,    8.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,2,3,1,1,1
M,B,52,0,0,999,0,1, ,1, ,0,23,    1.00,    8.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,7,8,2,5,2
M,B,28,1,1,22,1,1, ,3,5000,0,12,   22.00,    2.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,8,9,2,4,2
M,B,27,0,0,999,0,1, ,1, ,0,10,   22.00,    2.00,0,0,Defendant Detained Entire Pre-Trial Period_Held Without Bond,9,10,1,4,2
M,W,36,1,1,0,1,3,5000,3,5000,0,19,   22.00,    2.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,4,5,2,8,5
M,W,22,0,1,0,1,3,2500,3,2500,0,2,   22.00,    2.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,2,3,1,3,1
M,W,33,0,0,999,0,1, ,1, ,2,11,   15.00,    6.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,9,10,2,7,3
F,W,36,1,1,0,1,5, ,3,1000,1,0,    8.00,    8.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,0,0
M,B,22,1,1,0,3,2,4000,2,4000,0,8,    8.00,    8.00,1,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,0,1,0,2,0
M,B,24,0,1,14,3,1, ,2,15000,2,11,    8.00,    8.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,6,7,1,3,3
M,B,29,1,0,999,0,1, ,1, ,0,11,    7.00,    8.00,0,0,Defendant Detained Entire Pre-Trial Period_Held Without Bond,9,10,3,5,1
M,B,33,0,1,2,3,2,1000,2,1000,9,2,    7.00,    8.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,2,4,2
M,B,26,1,1,42,3,1, ,2,3500,2,9,    4.00,    7.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,6,7,5,6,4
F,B,32,99,0,999,0,1, ,1, ,9,3,    4.00,    7.00, , ,Defendant could not be classified or tracked due to insufficeint data,0,1,0,0,0
M,W,69,0,1,3,9,1, ,7, ,0,2,    3.00,    7.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,2,3,2,1,1
M,B,56,9,1,1,9,2,2500,7, ,0,101,   13.00,    6.00,0,0,Defendant could not be classified or tracked due to insufficeint data,10,11,3,9,4
M,B,32,0,0,999,0,1, ,1, ,0,18,   13.00,    6.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,8,9,2,8,3
M,B,20,0,1,0,3,2,1000,2,1000,0,3,   23.00,    2.00,0,1,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,6,7,1,5,1
M,W,38,1,0,999,0,1, ,1, ,1,11,   23.00,    2.00,0,0,Defendant Detained Entire Pre-Trial Period_Held Without Bond,4,5,2,2,4
M,B,23,0,1,1,3,1, ,2,2500,0,8,   23.00,    2.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,2,8,5
F,B,27,0,0,999,0,1, ,1, ,0,7,    5.00,    8.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,7,8,2,3,2
M,B,19,0,0,999,0,1, ,1, ,0,5,    5.00,    8.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,7,8,1,7,2
M,W,28,0,0,999,0,1, ,1, ,0,3,    2.00,    7.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,6,7,1,1,1
M,W,33,1,1,0,1,3,5000,3,5000,0,19,    2.00,    7.00,1,1,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,7,8,5,7,3
M,W,49,0,0,999,0,1, ,1, ,0,12,    9.00,    6.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,9,10,2,9,4
F,B,31,0,0,999,0,1, ,1, ,0,38,    9.00,    6.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,9,10,3,9,4
M,B,35,1,1,0,3,2,1500,2,1500,1,6,    2.00,    7.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,1,5,2
M,W,45,0,1,5,3,2,5000,2,5000,0,1,    2.00,    7.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,5,6,1,3,1
F,B,46,1,1,1,3,2,2000,2,2500,0,21,   16.00,    4.00,0,1,New criminal offense punishable by incarceration_Released on Secured Bond,6,7,2,4,1
F,B,47,0,1,0,1,3,3000,3,3000,0,2,   16.00,    4.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,2,3,1,1,1
M,W,54,1,0,999,0,1, ,1, ,2,35,   24.00,    2.00,0,0,Defendant Detained Entire Pre-Trial Period_Held Without Bond,3,4,1,6,3
F,B,18,1,0,999,0,1, ,1, ,0,6,   24.00,    2.00,0,0,Defendant Detained Entire Pre-Trial Period_Held Without Bond,0,1,0,2,3
F,B,47,0,1,0,1,3,1500,3,1500,0,0,   17.00,    5.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,3,4,0,0,0
M,B,67,1,1,6,9,1, ,7, ,0,28,   17.00,    5.00,1,1,Defendant could not be classified or tracked due to insufficeint data,6,7,1,5,2
M,B,25,0,1,0,1,4, ,4, ,0,0,   17.00,    5.00,0,0,Contact Event was for new criminal offense NOT punishable by incarceration,0,1,0,0,0
M,W,25,0,1,1,9,4, ,7, ,0,1,   17.00,    5.00,0,0,Contact Event was for new criminal offense NOT punishable by incarceration,2,3,1,1,1
F,W,47,1,1,1,9,3,2000,7, ,0,4,   17.00,    5.00,1,0,Defendant could not be classified or tracked due to insufficeint data,6,7,3,4,1
M,B,55,0,1,1,9,4, ,7, ,0,33,   17.00,    5.00,0,1,Contact Event was for new criminal offense NOT punishable by incarceration,3,4,2,4,2
M,W,37,0,1,1,9,4, ,7, ,0,1,   17.00,    5.00,0,0,Contact Event was for new criminal offense NOT punishable by incarceration,2,3,1,1,1
M,B,29,1,1,1,3,2,2500,2,2500,0,0,   17.00,    5.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,3,4,0,0,0
F,B,20,1,1,1,6,2,3000,2,3000,0,0,   17.00,    5.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,3,4,0,2,0
M,W,19,1,0,999,0,1, ,1, ,0,3,   25.00,    2.00,0,0,Defendant Detained Entire Pre-Trial Period_Held Without Bond,9,10,1,6,5
M,W,26,1,1,0,6,2,2500,2,2500,0,13,   25.00,    2.00,0,1,New criminal offense punishable by incarceration_Released on Secured Bond,3,4,2,5,3
M,W,42,1,1,1,3,2,3000,2,1000,1,0,   25.00,    2.00,0,1,New criminal offense punishable by incarceration_Released on Secured Bond,0,1,0,0,0
M,W,51,0,1,1,1,4, ,4, ,0,6,   25.00,    2.00,0,0,Contact Event was for new criminal offense NOT punishable by incarceration,0,1,1,3,1
M,W,28,1,0,999,0,1, ,1, ,0,3,   24.00,    2.00,0,0,Defendant Detained Entire Pre-Trial Period_Held Without Bond,3,4,2,1,0
M,W,19,0,1,0,1,3,3000,3,3000,0,0,   24.00,    2.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,3,4,0,2,0
M,W,28,1,1,36,3,2,1500,2,1500,0,3,   24.00,    2.00,0,1,New criminal offense punishable by incarceration_Released on Secured Bond,7,8,2,4,2
M,W,43,0,1,0,3,2,2000,2,2000,0,6,   24.00,    2.00,0,1,New criminal offense punishable by incarceration_Released on Secured Bond,4,5,2,4,2
F,W,58,1,1,0,3,2,500,2,500,0,13,   24.00,    2.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,1,2,1
M,W,32,1,0,999,0,1, ,1, ,9,17,   27.00,    1.00,1,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,3,4,5,8,2
M,W,53,0,1,0,1,4, ,4, ,0,2,   25.00,    2.00,0,0,Contact Event was for new criminal offense NOT punishable by incarceration,2,3,1,1,1
F,B,19,1,1,0,1,3,1000,3,1000,0,0,   10.00,    3.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,2,0
M,B,32,0,1,0,1,4, ,4, ,0,14,   10.00,    3.00,0,0,Contact Event was for new criminal offense NOT punishable by incarceration,4,5,1,4,1
M,B,53,0,1,0,3,2,2000,2,2000,0,34,   24.00,    2.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,6,7,1,6,3
F,W,53,0,1,1,4,2,1500,4, ,1,3,   15.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,2,3,1,1,1
F,W,22,0,1,0,1,3,500,3,500,1,1,   27.00,    1.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,4,5,0,2,0
F,W,49,1,1,24,3,1, ,2,5000,0,4,   27.00,    1.00,0,1,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,6,7,1,2,1
M,W,24,1,1,5,3,2,5000,2,1000,0,25,   27.00,    1.00,0,1,New criminal offense punishable by incarceration_Released on Secured Bond,7,8,2,9,4
M,B,28,1,1,1,1,3,1000,3,1000,1,1,   10.00,    3.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,0,0
F,B,18,1,1,0,3,2,1000,2,1000,0,0,   10.00,    3.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,0,1,0,2,3
M,W,36,0,1,65,6,1, ,2,1500,1,14,   12.00,    3.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,5,6,1,4,2
M,B,43,1,1,1,3,1, ,2,2800,0,25,   12.00,    3.00,0,1,New criminal offense punishable by incarceration_Released on Secured Bond,8,9,2,8,5
F,B,50,0,1,0,3,2,1000,2,1000,1,10,   12.00,    3.00,1,0,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,1,2,4
M,B,25,1,1,71,1,3,5000,3,3000,0,5,   12.00,    3.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,5,6,2,4,1
F,W,23,1,1,47,6,1, ,2,500,0,13,   12.00,    3.00,1,0,New criminal offense punishable by incarceration_Released on Secured Bond,8,9,6,8,4
F,B,42,1,0,999,0,1, ,1, ,0,95,   12.00,    3.00,1,0,Defendant Detained Entire Pre-Trial Period_Held Without Bond,8,9,3,7,2
M,B,40,0,1,1,4,1, ,3,5000,0,34,   12.00,    3.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,3,4,2,5,4
M,W,20,0,1,1,4,3,4000,3,2500,0,1,   12.00,    3.00,0,1,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,2,3,1,5,4
M,B,19,0,1,10,6,1, ,2,10000,0,2,   12.00,    3.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,3,4,4
M,W,20,1,0,999,0,2,3500,1, ,1,0,   12.00,    3.00,0,0,Defendant Detained Entire Pre-Trial Period_Held on Secured Bond,0,1,0,2,0
M,B,44,1,1,1,3,1, ,2,7500,1,20,   12.00,    3.00,0,1,New criminal offense punishable by incarceration_Released on Secured Bond,4,5,3,5,2
M,B,41,1,0,999,0,1, ,1, ,0,35,   12.00,    3.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,6,7,5,9,3
F,W,30,0,1,0,1,5, ,3,1500,1,0,   12.00,    3.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,0,0
F,W,21,1,1,87,4,1, ,3,2500,1,13,   12.00,    3.00,1,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,11,12,2,9,2
M,W,25,0,1,0,1,3,1000,3,1000,0,1,   25.00,    2.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,0,1,2,1,0
M,B,41,1,0,999,0,1, ,1, ,0,37,   16.00,    4.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,8,9,2,6,3
M,W,44,0,1,0,1,4, ,4, ,0,4,   16.00,    4.00,0,0,Contact Event was for new criminal offense NOT punishable by incarceration,2,3,1,1,1
M,W,30,0,1,0,1,3,2500,3,2500,1,0,   16.00,    4.00,1,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,0,0
M,W,30,0,1,0,1,3,3000,3,3000,1,1,   16.00,    4.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,0,0
M,B,31,1,1,6,3,2,3000,2,3000,0,16,   16.00,    4.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,12,13,5,9,3
M,W,41,0,0,999,0,1, ,1, ,0,56,   16.00,    4.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,3,4,3,8,3
M,W,38,1,0,999,0,1, ,1, ,1,8,   16.00,    4.00,0,0,Defendant Detained Entire Pre-Trial Period_Held Without Bond,3,4,3,4,3
M,B,30,0,1,0,1,3,1000,3,1000,0,0,   11.00,    3.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,0,1,0,0,0
M,W,38,1,1,0,1,3,1500,3,1500,0,7,   11.00,    3.00,0,1,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,5,6,1,4,1
M,B,29,0,1,0,1,3,1500,3,1500,0,5,   19.00,    5.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,2,3,1,3,1
F,B,28,0,1,0,1,3,1500,3,1500,1,0,   19.00,    5.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,0,0
M,A,25,0,1,0,1,4, ,4, ,0,2,   19.00,    5.00,0,0,Contact Event was for new criminal offense NOT punishable by incarceration,0,1,0,0,0
F,W,31,1,1,0,1,3,2500,3,2500,1,7,   19.00,    5.00,1,1,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,2,3,2,1,1
M,B,28,1,1,0,3,2,1000,2,1000,0,0,   19.00,    5.00,1,0,New criminal offense punishable by incarceration_Released on Secured Bond,3,4,0,0,0
M,B,34,1,1,0,1,1, ,3,1000,0,17,   19.00,    5.00,1,1,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,4,5,3,6,3
M,W,27,1,1,0,1,3,2000,3,2000,0,13,   19.00,    5.00,1,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,12,13,3,8,3
M,W,43,1,0,999,0,1, ,1, ,2,22,   19.00,    5.00,0,0,Defendant Detained Entire Pre-Trial Period_Held Without Bond,7,8,1,6,5
M,W,73,0,1,0,1,4, ,4, ,0,0,   19.00,    5.00,0,0,Contact Event was for new criminal offense NOT punishable by incarceration,0,1,0,0,0
M,A,26,0,1,0,3,2,2500,2,2500,1,1,   19.00,    5.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,1,1,1
F,W,28,0,1,173,3,3,1500,2,2500,1,2,   19.00,    5.00,1,1,New criminal offense punishable by incarceration_Released on Secured Bond,4,5,2,4,2
M,W,59,0,1,0,3,1, ,2,0,2,3,   19.00,    5.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,0,1,0,0,2
M,W,20,0,1,0,1,4, ,4, ,0,13,   19.00,    5.00,0,1,Contact Event was for new criminal offense NOT punishable by incarceration,7,8,5,9,2
M,W,61,0,1,0,1,3,2000,3,2000,0,0,   19.00,    5.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,0,2
M,W,39,0,1,5,6,1, ,2,1000,2,1,   19.00,    5.00,1,0,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,2,1,3
M,B,45,1,1,0,3,2,1000,2,1000,0,0,   19.00,    5.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,0,1,0,0,0
M,W,24,1,1,5,6,1, ,2,5000,0,26,   19.00,    5.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,8,9,3,8,4
M,B,62,0,1,0,1,3,2000,3,2000,0,6,   19.00,    5.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,2,3,2,5,3
M,B,28,9,1,0,1,3,5000,3,5000,0,14,   19.00,    5.00,0,1,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,2,3,1,5,4
M,B,33,0,1,0,1,4, ,4, ,0,15,   19.00,    5.00,1,0,Contact Event was for new criminal offense NOT punishable by incarceration,6,7,1,4,2
F,W,19,0,1,0,1,3,1500,3,1500,0,0,   19.00,    5.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,3,4,0,2,0
F,W,28,0,1,0,1,3,4500,3,4500,1,1,   19.00,    5.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,2,3,1,1,1
M,A,71,1,1,0,1,3,1500,3,1500,0,0,   19.00,    5.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,3,4,0,0,0
F,A,51,0,1,0,1,4, ,4, ,0,0,   19.00,    5.00,0,0,Contact Event was for new criminal offense NOT punishable by incarceration,0,1,0,0,0
F,W,30,0,1,0,1,3,2500,3,2500,1,0,   19.00,    5.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,0,0
M,W,34,0,1,0,1,3,5000,3,5000,1,1,   19.00,    5.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,2,3,1,3,1
M,W,57,99,1,0,1,3,2500,3,2500,1, ,   19.00,    5.00, , ,Defendant could not be classified or tracked due to insufficeint data, , , , , 
M,B,28,1,1,0,3,1, ,2,2000,0,4,   19.00,    5.00,1,1,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,1,1,3
M,W,27,0,1,0,3,2,3500,2,3500,1,3,   19.00,    5.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,1,1,1
M,W,32,0,1,0,3,2,2000,2,2000,1,16,   19.00,    5.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,3,4,2,5,2
M,W,18,0,1,0,1,3,1000,3,1000,0,0,   19.00,    5.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,2,0
M,W,21,0,1,0,3,2,6000,2,6000,0,0,   19.00,    5.00,1,1,New criminal offense punishable by incarceration_Released on Secured Bond,0,1,0,2,0
M,W,27,1,1,46,6,1, ,2,5000,0,43,   19.00,    5.00,1,1,New criminal offense punishable by incarceration_Released on Secured Bond,8,9,6,10,3
