Defendant_Sex,Defendant_Race,Defendant_Age,Defendant_IndigencyStatus,WhetherDefendantWasReleasedPretrial,DaysBetweenContactEventAndPretrialRelease,PretrialReleaseType2,BondTypeAtInitialContact,BondAmountAtInitialContact,BondTypeAtRelease_v1,BondAmountAtRelease,Indicator_PresumptiveDenialOfBail_19.2_120,PriorArrests,Locality_JudicialCircuit,Locality_MagisterialRegion,FollowUp_ChargedWithNewFTA,FollowUp_ArrestedforNewOff,CrimeCommission2021ReportClassificationofDefendants,VPRAI_TotalPoints_Opt1,VPRAI_TotalPoints_Opt2,PSA_FTA_TotalPoints,PSA_NCA_TotalPoints,PSA_NVCA_TotalPoints
F,W,32,99,1,888,3,7, ,2, ,0,22,   22.00,    2.00, , ,Defendant could not be classified or tracked due to insufficeint data,10,11,7,10,3
M,W,21,1,1,0,3,7, ,2,0,1,0,   22.00,    2.00,0,1,New criminal offense punishable by incarceration_Released on Secured Bond,3,4,0,2,0
M,B,30,0,0,999,0,7, ,1, ,2,11,   26.00,    4.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,7,8,7,7,3
F,B,38,1,1,888,3,7, ,2,0,0,20,   26.00,    4.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,3,4,2,6,5
M,W,36,1,0,999,0,7, ,1, ,0,3,   26.00,    4.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,0,1,0,0,2
M,W,36,0,0,999,0,7, ,1, ,2,1,   26.00,    4.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,0,1,0,0,2
M,B,26,1,1,888,3,7, ,2,0,2,12,   26.00,    4.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,7,8,5,8,2
F,W,43,1,1,0,3,7, ,2,0,0,10,   26.00,    4.00,0,1,New criminal offense punishable by incarceration_Released on Secured Bond,10,11,4,6,2
M,B,56,0,1,888,3,7, ,2,0,0,0,   26.00,    4.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,0,1,0,0,0
F,W,43,1,1,888,3,7, ,2,0,0,6,   26.00,    4.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,5,6,1,4,1
M,B,49,0,0,999,0,7, ,1, ,1,22,   26.00,    4.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,6,7,2,1,1
M,W,19,0,1,888,3,7, ,2,0,0,1,   26.00,    4.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,7,8,0,2,3
M,W,50,1,1,888,3,7, ,2,0,0,6,   16.00,    4.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,5,6,1,4,4
M,B,28,0,9,888,9,7, ,9, ,1,4,   16.00,    4.00,0,0,Defendant could not be classified or tracked due to insufficeint data,2,3,1,3,1
M,B,52,0,9,888,9,7, ,9, ,1,4,   16.00,    4.00,0,0,Defendant could not be classified or tracked due to insufficeint data,2,3,1,1,1
M,B,27,1,0,999,0,7, ,1, ,0,43,   16.00,    4.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,10,11,5,9,3
M,W,40,0,0,999,0,7, ,1, ,0,47,   16.00,    4.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,9,10,5,10,4
F,B,28,0,1,24,6,7, ,2,25000,0,2,    6.00,    3.00,1,1,New criminal offense punishable by incarceration_Released on Secured Bond,6,7,1,4,4
